Symbol,Description
TXT.PR.A,Top 10 Split Trust Pref A
TXT.UN,Top 10 Split Trust
TZS,Trez Capital Senior Mortgage Inv Corp
TZZ,Trez Capital Mortgage Inv Corp
U,Uranium Participation Co
UDA.UN,Caldwell US Dividend Adv Fund
UEX,Uex Corp
UFS,Domtar Corp
ULV.C,Powershares Sp500 Low Volatility ETF
ULV.F,Powershares Sp500 Low Volatility ETF
UMI,Wisdomtree US Midcap Div Idx Heg ETF
UNC,United Corp Ltd
UNC.PR.B,United Corp 59 Pr
UNG.PR.C,Union Gas 5-1/2% Pr
UNG.PR.D,Union Gas 6% B Pr
UNS,Uni Select Inc
UR,Urthecast Corp
URB,Urbana Corporation
URB.A,Urbana Corporation Cl A
URE,Ur-Energy Inc
USA,Americas Silver Corp
USB,Powershares Lad US 0 To 5 Yr Corp Bd ETF
USB.U,Powershares Lad US 0 To 5 Yr Corp Bd ETF USD
USF.UN,US Financials Income Fund
UTE.UN,Canadian Utilities Telecom Inc Fd
UWE,U3O8 Corp
UXM,Morningstar US Div Tgt 50 ETF
UXM.B,Morningstar US Div Tgt 50 ETF
VA,Vanguard FTSE Dev Asia Pac All Cap ETF
VAB,Vanguard CDN Aggregate Bond Index ETF
VAH,Vanguard FTSE Dev Asia Pac ETF CAD Hdg
VB,Versabank
VB.PR.A,Versabank Pref Ser 1
VB.PR.B,Versabank Pref Ser 3
VBAL,Vanguard Balanced ETF Portfolio
VBG,Vanguard Global Ex US Agg Bnd ETF
VBU,Vanguard US Agg Bond Index ETF CAD
VCB,Vanguard CDN Corporate Bond Index ETF
VCE,Vanguard FTSE Canada Index ETF
VCM,Vecima Networks Inc
VCN,Vanguard FTSE Canada All Cap ETF
VCNS,Vanguard Conservative ETF Portfolio
VDU,Vanguard FTSE Developed AC Ex US ETF
VDY,Vanguard FTSE CDN High Div Yld Index ETF
VE,Vanguard FTSE Dev Europe All Cap ETF
VEE,Vanguard FTSE Emerging Mkts All Cap ETF
VEF,Vanguard FTSE Dev AC Ex US ETF CAD Hdg
VEH,Vanguard FTSE Dev Europe ETF CAD Hdg
VET,Vermilion Energy Inc
VFF,Village Farms International Inc
VFV,Vanguard S&P 500 Index ETF
VGG,Vanguard US Div Appr ETF
VGH,Vanguard US Div Appr ETF CAD Hdg
VGRO,Vanguard Growth ETF Portfolio
VGV,Vanguard CDN Government Bond Index ETF
VGZ,Vista Gold Corp
VI,Vanguard FTSE Dev All Cap Na ETF
VIDY,Vanguard FTSE Dev Ex Na High Div Yld ETF
VII,Seven Generations Energy Ltd
VIU,Vanguard FTSE Dev All Cap Na ETF
VLB,Vanguard CDN Long Term Bond Index ETF
VLE,Valeura Energy Inc
VLN,Velan Inc Sv
VLQ,Vanguard Glob Liquidity Factor ETF
VMD,Viemed Healthcare Inc
VMO,Vanguard Glob Momentum Factor ETF
VNP,5N Plus Inc
VNP.DB,5N Plus Inc 5.75 Pct Debs
VNR,Valener Inc
VNR.PR.A,Valener Inc Pref Ser A
VRE,Vanguard FTSE CDN Capped REIT Index ETF
VSB,Vanguard CDN Short-Term Bond Index ETF
VSC,Vanguard CDN Short Term Corp Bd ETF
VSG,Vanguard CDN Sh Term Govt Bd Index ETF
VSP,Vanguard S&P 500 Index ETF CAD Hdg
VUN,Vanguard US Total Market ETF
VUS,Vanguard US Total Mkt ETF CAD Hdg
VVL,Vanguard Glob Val Factor ETF
VVO,Vanguard Global Min Vol ETF
VXC,Vanguard FTSE Glbl All Cap Ex Can ETF
VXM,F A Morningstar Intl Value ETF
VXM.B,F A Morningstar Intl Value ETF Unheg
W.PR.H,Westcoast 7 Pr
W.PR.J,Westcoast 8 Pr
W.PR.K,Westcoast Energy Inc Pref Ser 10
W.PR.M,Westcoast Energy Inc Pref Ser 12
WCN,Waste Connections Inc
WCP,Whitecap Resources Inc
WDO,Wesdome Gold Mines Ltd
WEED,Canopy Growth Corp
WEF,Western Forest Products Inc
WEQ,Westernone Inc
WEQ.DB,Westernone Inc 6.25 Pct Debs Series 3
WFC,Wall Financial
WFS,World Financial Split Corp
WFS.PR.A,World Financial Split Corp
WFT,West Fraser Timber Co Ltd
WIR.U,Wpt Industrial REIT USD
WJA,Westjet Airlines Ltd
WJX,Wajax Corp
WM,Wallbridge Mining Company Ltd
WN,Weston George
WN.PR.A,George Weston Pref Ser 1
WN.PR.C,George Weston 5.20% Pref Ser III
WN.PR.D,George Weston 5.2% Pref Ser IV
WN.PR.E,George Weston 4.75% Pref Ser V
WOMN,BMO Women In Leadership Fund
WPK,Winpak Ltd
WPM,Wheaton Precious Metals Corp
WPRT,Westport Fuel Systems Inc
WRG,Western Energy Services Corp
WRN,Western Copper and Gold Corp
WRX,Western Resources Corp
WSP,WSP Global Inc
WTE,Westshore Terminals Investment Corp
WXM,F A Morningstar Cda Momentum ETF
X,Tmx Group Limited
XAM,Xanadu Mines Ltd
XAU,Goldmoney Inc
XAW,Ishares Core MSCI All Cntry Ex Can ETF
XBB,Ishares Core CDN Universe Bond ETF
XBM,Ishares S&P TSX Global Base Mtls ETF
XCB,Ishares Canadian Corporate Bond ETF
XCD,Ishares S&P Global Cons Disc ETF
XCG,Ishares Canadian Growth Index ETF
XCH,Ishares China Index ETF
XCS,Ishares S&P TSX Smallcap Index ETF
XCT,Exactearth Ltd
XCV,Ishares Canadian Value Index ETF
XDG,Ishares Core MSCI Glo Qlty Div ETF
XDGH,Ishares Core MSCI Glo Qlty Div ETF
XDIV,Ishares Core MSCI CAD Qlty Div ETF
XDU,Ishares Core MSCI US Qlty Div ETF
XDUH,Ishares Core MSCI US Qlty Div ETF
XDV,Ishares Canadian Select Div Index ETF
XEB,Ishares JP Morgan USD Emerg Mkts Bd ETF
XEC,Ishares Core MSCI Emerging Mkts IMI ETF
XEF,Ishares Core MSCI EAFE IMI Index ETF
XEG,Ishares S&P TSX Capped Energy Index ETF
XEH,Ishares MSCI Europe IMI Index ETF
XEI,Ishares S&P TSX Comp High Div Index ETF
XEM,Ishares MSCI Emerging Markets ETF
XEN,Ishares Jantzi Social Index ETF
XEU,Ishares MSCI Europe IMI Index ETF
XFA,Ishares Edge MSCI Multifact USA Idx CAD
XFC,Ishares Edge MSCI Multifact Can ETF
XFF,Ishares Edge MSCI Multifact EAFE Idx CAD
XFH,Ishares Core MSCI EAFE IMI Index ETF
XFI,Ishares Edge MSCI Multifact EAFE ETF
XFN,Ishares S&P TSX Capped Financials ETF
XFR,Ishares Floating Rate Index ETF
XFS,Ishares Edge MSCI Multifact USA ETF
XGB,Ishares Canadian Govt Bond Index ETF
XGD,Ishares S&P/Tsx Global Gold Index ETF
XGI,Ishares S&P Global Industrials ETF
XHB,Ishares CDN Hybrid Corp Bond ETF
XHC,Ishares Global Healthcare Index ETF
XHD,Ishares US High Div Equity Index ETF
XHU,Ishares US High Div Equity Index ETF
XHY,Ishares US High Yield Bond Index ETF
XIC,Ishares Core S&P TSX Capped Comp ETF
XID,Ishares India Index ETF
XIG,Ishares US Ig Corporate Bond Index ETF
XIN,Ishares MSCI EAFE Index ETF
XIT,Ishares S&P TSX Capped Info Tech ETF
XIU,Ishares S&P TSX 60 Index ETF
XLB,Ishares Core CDN Long Term Bond ETF
XMA,Ishares S&P TSX Capped Materials ETF
XMC,Ishares S&P US Midcap Index ETF
XMD,Ishares S&P TSX Completion Index ETF
XMF.A,M Split Corp Capital Shares 2014
XMF.PR.B,M Split Corp Class I Pref Shares
XMF.PR.C,M Split Corp Class II Pref Shares 2014
XMH,Ishares S&P US Midcap Index ETF CAD Hgd
XMI,Ishares Edge MSCI Min Vol EAFE ETF
XML,Ishares Edge MSCI Mv EAFE ETF CAD Hgd
XMM,Ishares Edge MSCI Min Vol Emerg ETF
XMS,Ishares Edge MSCI Mv USA ETF CAD Hgd
XMU,Ishares Edge MSCI Min Vol USA ETF
XMV,Ishares Edge MSCI Min Vol Can ETF
XMW,Ishares Edge MSCI Min Vol Gbl ETF
XMY,Ishares Edge MSCI Mv Glbl ETF CAD Hgd
XPF,Ishares S&P TSX Na Pref Stock ETF
XQB,Ishares High Qlty Canadian Bond ETF
XQQ,Ishares Nasdaq 100 Index ETF
XRB,Ishares CDN Real Return Bond Index ETF
XRE,Ishares S&P TSX Capped REIT Index ETF
XSB,Ishares Core CDN Short Trm Bond ETF
XSC,Ishares Cons ST Strat Fix Inc ETF
XSE,Ishares Cons Strat Fix Inc ETF
XSH,Ishares Core CDN ST Corp Maple Bnd ETF
XSI,Ishares Short Term Strategic FI ETF
XSP,Ishares Core S&P 500 ETF CAD Hdg ETF
XSQ,Ishares ST Hi Qlty CDN Bond ETF
XST,Ishares S&P TSX Capped Cons Stpl ETF
XSU,Ishares US Small Cap Index ETF
XTC,Exco Tech
XTD,Tdb Split Corp Class A Shares
XTD.PR.A,Tdb Split Corp Priority Equity Shares
XTG,Xtra Gold Resources Corp
XTR,Ishares Diversified Monthly Income ETF
XUH,Ishares Core S&P US Total Mkt ETF CAD Heg
XUS,Ishares Core S&P 500 Index ETF
XUT,Ishares S&P TSX Capped Utilities ETF
XUU,Ishares Core S&P US Total Market ETF
XWD,Ishares MSCI World Index ETF
XXM,Fa Morningstar US Value Index ETF
XXM.B,Fa Morningstr US Value Idx Unhdgd ETF
Y,Yellow Pages Limited
Y.WT,Yellow Pages Limited Wts
YCM,Commerce Split Corp Capital Shares
YCM.PR.A,Commerce Split Corp Class I Pref Shares
YCM.PR.B,Commerce Split Corp Class II Pref Shares
YGR,Yangarra Resources Ltd
YPG.DB,Yp Digital and Media Sol 8 Pct Debs
YRB,Yorbeau Resources Inc
YRI,Yamana Gold Inc
YXM,Fa Morningstar US Momentum Index ETF
YXM.B,Fa Morningstar US Momentum Unhdgd ETF
ZAG,BMO Aggregate Bond Index ETF
ZAR,Zargon Oil and Gas Ltd
ZAR.DB.A,Zargon Oil and Gas Ltd 8.00 Pct Debs
ZBK,BMO Equal Weight US Bank ETF
ZCB,BMO Corporate Bond Index ETF
ZCH,BMO China Equity Index ETF
ZCL,Zcl Composites
ZCM,BMO Mid Corporate Bond ETF
ZCN,BMO S&P TSX Capped Comp ETF
ZCS,BMO Short Corp Bond ETF
ZCS.L,BMO Short Corporate Bond ETF
ZDB,BMO Discount Bond ETF
ZDH,BMO Intl Div CAD Hedge ETF
ZDI,BMO International Dividend ETF
ZDJ,BMO DJIA Hedged To CAD Index ETF
ZDM,BMO MSCI EAFE Hedged To CAD Index ETF
ZDV,BMO Canadian Dividend ETF
ZDY,BMO US Dividend ETF CAD
ZDY.U,BMO US Dividend ETF USD
ZEA,BMO MSCI EAFE ETF
ZEB,BMO S&P TSX Equal Weight Banks Index ETF
ZEF,BMO Emg Mkt Bond Hdgd To CAD ETF
ZEM,BMO MSCI Emerging Markets Index ETF
ZEO,BMO S&P TSX Eql Weight Oil Gas Index ETF
ZEQ,BMO MSCI EU Hq Hcad ETF
ZEUS,BMO Shiller Select US Index ETF
ZFH,BMO Floating Rate High Yield ETF
ZFL,BMO Long Fed Bond Index ETF
ZFM,BMO Mid Federal Bond Index ETF
ZFS,BMO Short Federal Bond Index ETF
ZFS.L,BMO Short Federal Bond Index ETF
ZGB,BMO Government Bond Index ETF
ZGD,BMO S&P TSX Eql Weight Glbl Gold ETF
ZGI,BMO Global Infrastructure Index ETF
ZGQ,BMO MSCI All Cntry Wrld High Qlty ETF
ZGSB,BMO Global Strategic Bond Fund
ZHP,BMO US Pref Share Hgd To CAD ETF
ZHY,BMO High Yld US Corp Bnd Hdg CAD ETF
ZIC,BMO Mid Term US Ig Corp Bond ETF
ZIC.U,BMO Mid Term US Ig Corp Bond ETF USD
ZID,BMO India Equity Index ETF
ZIN,BMO S&P TSX Equal Weight Indstrl ETF
ZJG,BMO Junior Gold Index ETF
ZJK,BMO High Yield US Corp Bond ETF
ZJN,BMO Junior Gas Index ETF
ZJO,BMO Junior Oil Index ETF
ZLB,BMO Low Volatility CAD Equity ETF
ZLC,BMO Long Corporate Bond Index ETF
ZLD,BMO Low Vol Intl Eqty Hed To CAD ETF
ZLE,BMO Low Vol Emerg Mkt Equity ETF
ZLH,BMO Low Vol US Eqty Hed To CAD ETF
ZLI,BMO Low Vol Intl Equity ETF
ZLU,BMO Low Volatility US Equity ETF CAD
ZLU.U,BMO Low Volatility US Equity ETF USD
ZMI,BMO Monthly Income ETF
ZMP,BMO Mid Provincial Bond Index ETF
ZMSB,BMO Global Multi Sector Bond Fund
ZMT,BMO Sptsx Eql Wgt Glb Metal Hed CAD ETF
ZMU,BMO Mid Term US Ig Corp Bd Hgd CAD Idx
ZPH,BMO US Put Write Hedged To CAD ETF
ZPL,BMO Long Provincial Bond Index ETF
ZPR,BMO Laddered Pref Share ETF
ZPS,BMO Short Provincial Bond Index ETF
ZPS.L,BMO Short Provincial Bond Index ETF
ZPW,BMO US Put Write ETF
ZPW.U,BMO US Put Write ETF USD
ZQQ,BMO Nasdaq 100 Hedged To CAD Index ETF
ZRE,BMO Equal Weight Reits Index ETF
ZRR,BMO Real Return Bond Index ETF
ZSB,BMO Short Term Bond Idx ETF
ZSP,BMO S&P 500 Index ETF
ZSP.U,BMO S&P 500 Index ETF USD
ZST,BMO Ultra Short Term Bond ETF
ZST.L,BMO Ultra Short Term Bond ETF
ZSU,BMO ST US Ig Corp Bond Hcad ETF
ZUB,BMO Eql Wgt US Bank Hdgd To CAD ETF
ZUD,BMO US Dividend Hedged To CAD ETF
ZUE,BMO S&P 500 Hedged CAD ETF
ZUH,BMO Eql Wgt US Hcare Hdgd To CAD ETF
ZUP,BMO US Pref Share Index ETF
ZUP.U,BMO US Pref Share Index ETF
ZUQ,BMO MSCI USA High Quality Index ETF
ZUT,BMO Equal Weight Utilities Index ETF
ZVC,BMO MSCI Cda Value Index ETF
ZVI,BMO MSCI EAFE Value Index ETF
ZVU,BMO MSCI USA Value Index ETF
ZWA,BMO Covered Call DJIA CAD ETF
ZWB,BMO Covered Call Canadian Banks ETF
ZWC,BMO CDN High Div Covered Call ETF
ZWE,BMO Europe High Div CC CAD Hedge ETF
ZWH,BMO US High Dividend Covered Call ETF
ZWH.U,BMO US High Dividend Cov Call ETF USD
ZWP,BMO Europe High Div Cov Call ETF
ZWS,BMO US High Div Cov Call Hgd ETF
ZWU,BMO Covered Call Utilities ETF
ZXM,F A Morningstar Intl Momentum ETF
ZXM.B,F A Morningstar Intl Momentum ETF Unhdg
ZYME,Zymeworks Inc
ZZZ,Sleep Country Canada Holdings Inc
